fecha	dds	variedad	sistema	rendimiento	NDVI	CIGREEN	CVI	EVI 	GNDVI	LCI	MCARI	RECL	SAVI
31/07/2023	130	Esperanza	Cordel	8360	0.669	2.949	3.006	0.453	0.591	0.669	0.332	4.356	0.445
31/07/2023	130	Esperanza	Cordel	8895	0.794	4.409	3.223	0.606	0.681	0.794	0.483	8.364	0.557
31/07/2023	130	Esperanza	Cordel	9393	0.794	4.641	3.49	0.577	0.69	0.794	0.412	8.396	0.54
31/07/2023	130	Esperanza	Cordel	9192	0.697	3.286	3.189	0.466	0.616	0.697	0.313	4.929	0.454
31/07/2023	130	Esperanza	Cordel	7800	0.709	3.397	3.225	0.492	0.625	0.709	0.34	5.187	0.474
17/07/2023	116	Capirona	Tradicional	6474	0.732	2.969	2.431	0.553	0.594	0.347	0.596	5.613	0.52
17/07/2023	116	Capirona	Tradicional	6867	0.829	4.352	2.6	0.662	0.679	0.476	0.754	10.234	0.598
17/07/2023	116	Capirona	Cordel	6539	0.813	3.788	2.325	0.637	0.651	0.472	0.648	9.029	0.581
17/07/2023	116	Capirona	Cordel	7959	0.849	4.806	2.677	0.752	0.701	0.544	0.747	11.809	0.66
17/07/2023	116	Capirona	Cordel	7090	0.877	5.763	2.94	0.815	0.739	0.601	0.767	14.717	0.701
17/07/2023	116	Capirona	Cordel	7972	0.864	5.216	2.756	0.742	0.719	0.568	0.721	13.186	0.655
17/07/2023	116	Conquista_certificada	Tradicional	8371	0.804	4.433	3.158	0.616	0.686	0.486	0.538	8.51	0.569
17/07/2023	116	Conquista_certificada	Tradicional	8146	0.828	5.092	3.445	0.631	0.715	0.517	0.553	9.962	0.578
17/07/2023	116	Conquista_certificada	Tradicional	9278	0.859	5.899	3.549	0.701	0.743	0.576	0.596	12.597	0.63
17/07/2023	116	Conquista_certificada	Tradicional	6927	0.879	6.665	3.743	0.71	0.767	0.627	0.531	14.901	0.635
17/07/2023	116	Conquista_certificada	Tradicional	8253	0.876	6.653	3.814	0.726	0.766	0.609	0.599	14.527	0.646
17/07/2023	116	Conquista_certificada	Tradicional	7049	0.809	4.59	3.269	0.593	0.693	0.504	0.48	8.756	0.553
17/07/2023	116	Conquista_registrada	Cordel	8259	0.886	6.911	3.7	0.759	0.773	0.656	0.523	16.112	0.669
17/07/2023	116	Conquista_registrada	Cordel	5434	0.885	6.678	3.527	0.746	0.766	0.652	0.516	15.953	0.657
17/07/2023	116	Conquista_registrada	Cordel	6647	0.893	7.203	3.708	0.776	0.779	0.666	0.548	17.379	0.678
17/07/2023	116	Conquista_registrada	Cordel	5564	0.876	6.204	3.368	0.728	0.753	0.633	0.517	14.582	0.644
17/07/2023	116	Conquista_registrada	Cordel	8031	0.898	7.403	3.725	0.814	0.785	0.667	0.618	18.089	0.706
17/07/2023	116	Conquista_registrada	Cordel	5522	0.888	6.815	3.528	0.769	0.769	0.65	0.571	16.478	0.676
17/07/2023	116	Esperanza	Cordel	6500	0.775	4.031	3.063	0.616	0.662	0.465	0.517	7.593	0.56
